   Date    Average_velocity(km/s)  Correlation_time(minutes)  
2000-09-20   504.8110656738281                 32             
2000-09-25   506.9447326660156                 15             
2000-09-26    565.93212890625                  13             
2000-09-27   531.0011596679688                 24             
2000-10-15   508.4443664550781                 12             
2000-10-16   562.2677612304688                 47             
2000-10-17   504.0008544921875                 20             
2000-10-23   510.6095886230469                 42             
2000-11-05   527.7235107421875                103             
2000-11-06   544.4202880859375                 42             
2000-11-07   507.1979064941406                191             
2000-11-11    802.107666015625                 58             
2000-11-12   654.6395263671875                 14             
2000-11-13   575.2645874023438                 21             
2000-11-26   510.7013244628906                 45             
2000-11-27   590.9238891601562                 47             
2000-11-28   554.9622192382812                 75             
2000-11-29    509.206787109375                 90             
2000-12-08   584.3026123046875                 14             
2000-12-09   637.4334106445312                 10             
2000-12-10   620.1473388671875                 13             
2000-12-11     549.6748046875                  27             
2001-02-13   516.1873168945312                 42             
2001-02-14   513.7994995117188                 51             
2001-02-15   551.1370239257812                 39             
2001-03-06   515.1529541015625                 24             
2001-03-28   606.0112915039062                 53             
2001-03-31    631.50927734375                  58             
2001-04-01     743.306640625                   51             
2001-04-02   563.3563842773438                 47             
2001-04-04    569.450927734375                 27             
2001-04-05   613.4954223632812                 34             
2001-04-08   618.5364379882812                 61             
2001-04-09   617.0604858398438                 26             
2001-04-10     554.3564453125                  25             
2001-04-11   588.2910766601562                 21             
2001-04-12   657.1762084960938                 99             
2001-04-13    729.006103515625                 33             
2001-04-14   648.6830444335938                 36             
2001-04-15    522.734130859375                 80             
2001-04-28       631.671875                    36             
2001-04-29   591.2262573242188                153             
2001-05-12   540.6094970703125                 65             
2001-05-13   547.8724975585938                 36             
2001-05-14   539.4535522460938                 15             
2001-05-25   557.8084106445312                 20             
2001-05-28   500.3153381347656                159             
2001-06-02   503.0919189453125                 26             
2001-06-03   506.3374938964844                 87             
2001-06-09   515.7042846679688                 12             
2001-06-10   589.4761962890625                 25             
2001-06-20   698.7404174804688                 21             
2001-06-21   526.0370483398438                 50             
2001-06-24   515.6775512695312                 10             
2001-07-17   594.7061157226562                 15             
2001-07-18   618.0032348632812                 15             
2001-07-19   601.2615356445312                 19             
2001-08-01   541.3949584960938                 34             
2001-08-18   515.3545532226562                 52             
2001-08-22   577.1472778320312                 22             
2001-08-28   517.6383056640625                 28             
2001-09-04   505.1690368652344                 54             
2001-09-15   543.2901611328125                 19             
2001-09-16   506.3992004394531                 39             
2001-09-28   533.7660522460938                 33             
2001-09-29   591.2703247070312                 89             
2001-09-30   517.9957885742188                 61             
2001-10-03   522.0371704101562                164             
2001-10-22   574.7608642578125                 32             
2001-11-08   528.9080200195312                 18             
2001-11-25   645.2460327148438                 87             
2001-11-26   548.3944091796875                 48             
2001-12-16    517.83447265625                  13             
2001-12-24    513.815185546875                 19             
2001-12-31     530.544921875                   23             
2002-01-11   609.1287231445312                 21             
2002-01-12   560.6304321289062                 25             
2002-01-13   515.8818969726562                 20             
2002-02-06   610.7536010742188                 10             
2002-02-07   586.2313842773438                 19             
